68,./playback/STIMULI/wavFilesTest/353-128309-0092_353-128309-0024_04_18_nspkrs_1.wav,1,1,TEST, 0.03,7.112,7.144
166,./playback/STIMULI/wavFilesTest/4992-41797-0006_7302-86815-0020_04_55_nspkrs_2.wav,2,2,TEST, 0.03,9.361,9.396
164,./playback/STIMULI/wavFilesTest/2012-139356-0005_3686-171133-0055_04_49_nspkrs_2.wav,2,1,TEST, 0.05,8.662,8.701
98,./playback/STIMULI/wavFilesTest/1337-10674-0044_1337-10674-0016_04_96_nspkrs_1.wav,1,1,TEST, 0.20,8.063,8.110
58,./playback/STIMULI/wavFilesTest/2902-9008-0015_2902-9006-0004_02_72_nspkrs_1.wav,1,1,TEST, 0.20,6.792,6.827
123,./playback/STIMULI/wavFilesTest/5588-39648-0042_7495-252341-0013_02_88_nspkrs_2.wav,2,2,TEST, 0.12,6.018,6.050
109,./playback/STIMULI/wavFilesTest/5393-19218-0013_5895-34622-0018_04_98_nspkrs_2.wav,2,1,TEST, 0.19,10.208,10.242
128,./playback/STIMULI/wavFilesTest/1552-140651-0035_2368-157057-0033_03_98_nspkrs_2.wav,2,2,TEST, 0.13,8.403,8.436
157,./playback/STIMULI/wavFilesTest/8297-275154-0021_8705-290363-0058_04_81_nspkrs_2.wav,2,2,TEST, 0.29,9.601,9.635
45,./playback/STIMULI/wavFilesTest/5561-39621-0006_5561-39621-0000_02_65_nspkrs_1.wav,1,1,TEST, 0.09,5.523,5.556
52,./playback/STIMULI/wavFilesTest/480-126336-0020_480-123176-0023_03_89_nspkrs_1.wav,1,1,TEST, 0.24,9.172,9.207
196,./playback/STIMULI/wavFilesTest/4854-24731-0065_7139-75360-0016_04_69_nspkrs_2.wav,2,2,TEST, 0.24,9.946,9.978
48,./playback/STIMULI/wavFilesTest/2035-147961-0030_2035-147961-0027_03_85_nspkrs_1.wav,1,2,TEST, 0.38,7.177,7.209
195,./playback/STIMULI/wavFilesTest/6294-86679-0038_8464-282934-0001_02_83_nspkrs_2.wav,2,1,TEST, 0.05,5.562,5.597
193,./playback/STIMULI/wavFilesTest/1246-135815-0016_2582-155972-0027_03_60_nspkrs_2.wav,2,2,TEST, 0.09,7.065,7.097
29,./playback/STIMULI/wavFilesTest/1734-142311-0049_1734-142311-0006_03_19_nspkrs_1.wav,1,2,TEST, 0.39,7.696,7.734
50,./playback/STIMULI/wavFilesTest/89-219-0056_89-218-0015_04_99_nspkrs_1.wav,1,1,TEST, 0.03,9.223,9.259
28,./playback/STIMULI/wavFilesTest/708-129393-0119_708-129393-0048_03_86_nspkrs_1.wav,1,1,TEST, 0.02,6.554,6.590
22,./playback/STIMULI/wavFilesTest/1678-142279-0059_1678-142279-0013_02_62_nspkrs_1.wav,1,2,TEST, 0.19,6.950,6.983
158,./playback/STIMULI/wavFilesTest/3242-8112-0024_3483-115968-0007_03_06_nspkrs_2.wav,2,2,TEST, 0.42,7.189,7.234
24,./playback/STIMULI/wavFilesTest/5029-80197-0017_5029-30593-0043_03_08_nspkrs_1.wav,1,1,TEST, 0.04,6.400,6.432
76,./playback/STIMULI/wavFilesTest/2830-3980-0015_2830-3980-0009_02_69_nspkrs_1.wav,1,1,TEST, 0.12,6.760,6.800
57,./playback/STIMULI/wavFilesTest/260-123288-0004_260-123286-0024_04_31_nspkrs_1.wav,1,1,TEST, 0.29,7.713,7.745
118,./playback/STIMULI/wavFilesTest/3738-164927-0034_6531-61334-0131_02_86_nspkrs_2.wav,2,2,TEST, 0.22,6.019,6.052
162,./playback/STIMULI/wavFilesTest/5386-8684-0008_7176-92135-0007_03_85_nspkrs_2.wav,2,2,TEST, 0.20,7.419,7.453
43,./playback/STIMULI/wavFilesTest/479-134717-0014_479-107479-0022_03_98_nspkrs_1.wav,1,1,TEST, 0.05,6.752,6.789
130,./playback/STIMULI/wavFilesTest/5147-32136-0028_55-121069-0044_03_44_nspkrs_2.wav,2,2,TEST, 0.09,6.897,6.928
